date	New York	California	Michigan	Texas	Florida
2020-01-22	0	0	0	0	0
2020-01-23	0	0	0	0	0
2020-01-24	0	0	0	0	0
2020-01-25	0	0	0	0	0
2020-01-26	0	2	0	0	0
2020-01-27	0	2	0	0	0
2020-01-28	0	2	0	0	0
2020-01-29	0	2	0	0	0
2020-01-30	0	2	0	0	0
2020-01-31	0	3	0	0	0
2020-02-01	0	3	0	0	0
2020-02-02	0	3	0	0	0
2020-02-03	0	6	0	0	0
2020-02-04	0	6	0	0	0
2020-02-05	0	6	0	0	0
2020-02-06	0	6	0	0	0
2020-02-07	0	6	0	0	0
2020-02-08	0	6	0	0	0
2020-02-09	0	6	0	0	0
2020-02-10	0	6	0	0	0
2020-02-11	0	7	0	0	0
2020-02-12	0	7	0	0	0
2020-02-13	0	8	0	0	0
2020-02-14	0	8	0	0	0
2020-02-15	0	8	0	0	0
2020-02-16	0	8	0	0	0
2020-02-17	0	8	0	0	0
2020-02-18	0	8	0	0	0
2020-02-19	0	8	0	0	0
2020-02-20	0	8	0	0	0
2020-02-21	0	10	0	0	0
2020-02-22	0	10	0	0	0
2020-02-23	0	10	0	0	0
2020-02-24	0	10	0	0	0
2020-02-25	0	10	0	0	0
2020-02-26	0	10	0	0	0
2020-02-27	0	11	0	0	0
2020-02-28	0	11	0	0	0
2020-02-29	0	12	0	0	0
2020-03-01	0	12	0	0	0
2020-03-02	1	21	0	0	1
2020-03-03	2	25	0	0	2
2020-03-04	11	35	0	0	2
2020-03-05	23	51	0	3	3
2020-03-06	31	59	0	4	3
2020-03-07	76	81	0	8	7
2020-03-08	106	95	0	11	10
2020-03-09	142	101	0	13	13
2020-03-10	150	144	0	16	15
2020-03-11	220	178	2	21	24
2020-03-12	327	221	2	27	30
2020-03-13	421	281	16	44	50
2020-03-14	613	372	25	60	76
2020-03-15	615	373	32	63	100
2020-03-16	967	557	54	85	101
2020-03-17	1578	700	63	110	190
2020-03-18	3038	828	119	196	306
2020-03-19	5704	1005	259	306	432
2020-03-20	8403	1243	402	429	564
2020-03-21	11727	1405	540	582	763
2020-03-22	15800	1646	1035	643	1004
2020-03-23	20884	2108	1329	758	1227
2020-03-24	25681	2538	1793	955	1412
2020-03-25	30841	2998	2296	1229	1682
2020-03-26	37877	3899	2845	1563	2357
2020-03-27	44876	4657	3634	1937	2900
2020-03-28	52410	5095	4650	2455	3763
2020-03-29	59648	5852	5488	2792	4246
2020-03-30	66663	7138	6498	3147	5473
2020-03-31	75833	8210	7615	3809	6741
2020-04-01	83948	9399	9315	4355	6956
2020-04-02	92506	10773	10791	5069	9008
2020-04-03	102987	12004	12744	5734	10268
2020-04-04	113833	12837	14225	6567	11537
2020-04-05	123160	15034	15718	7209	12350
2020-04-06	131815	16019	17221	8043	13324
2020-04-07	139875	17351	18970	8925	14545
2020-04-08	151061	18897	20346	9777	15456
2020-04-09	161779	19710	21504	11208	16364
2020-04-10	172348	21081	22434	12105	17531
2020-04-11	181026	21706	23605	13023	18494
2020-04-12	189033	22795	24244	13677	19895
2020-04-13	195749	23931	25635	14275	21019
2020-04-14	203020	25356	27001	15006	21628
2020-04-15	214454	26686	28059	15907	22511
2020-04-16	223691	27677	28809	16876	23343
2020-04-17	230597	29157	30023	17849	24759
2020-04-18	237474	30491	30791	18704	25492
2020-04-19	243382	31431	31424	19260	26314
2020-04-20	248416	33686	32000	19751	27059
2020-04-21	253519	35465	32667	20574	27869
2020-04-22	258222	37344	33966	21321	28309
2020-04-23	263460	39561	35296	22650	29648
2020-04-24	271590	41355	36666	23642	30533
2020-04-25	282143	42368	37074	24153	30839
2020-04-26	288045	43558	37778	24967	31532
2020-04-27	291996	44966	38210	25321	32138
2020-04-28	295106	46164	39262	26357	32848
2020-04-29	299691	48747	40399	27257	33193
2020-04-30	304372	50130	41379	28727	33690
